Unnamed: 0,stop_id,direction_id,branch_route_id,headway_trunk_seconds,headway_branch_seconds,stop_name
170,70200,1,Green-D,172.37632978723406,630.0195134990644,Park Street
171,70200,1,Green-E,166.3084881260287,560.0139843564825,Park Street
172,70201,1,Green-B,274.8536585365854,17375.714285714286,Government Center
173,70201,1,Green-C,226.06024096385545,9076.385714285714,Government Center
174,70201,1,Green-D,295.6487063216858,638.9428266096714,Government Center
175,70201,1,Green-E,294.0237762237762,555.4710996240601,Government Center
176,70202,0,Green-D,177.26133966244726,633.6365087812667,Government Center
177,70202,0,Green-E,152.09188034188034,565.451674186654,Government Center
178,70203,1,Green-B,288.0,15167.421052631578,Haymarket
179,70203,1,Green-C,246.2840236686391,8408.027972027972,Haymarket
180,70203,1,Green-D,296.66613032984714,642.8001074691026,Haymarket
181,70203,1,Green-E,292.3331783306208,554.1370665417057,Haymarket
182,70204,0,Green-B,216.9591836734694,14255.59090909091,Haymarket
183,70204,0,Green-C,244.29166666666663,7295.066666666667,Haymarket
184,70204,0,Green-D,334.1901294498382,645.1997278911565,Haymarket
185,70204,0,Green-E,267.89282319391634,565.7090563346803,Haymarket
186,70205,1,Green-B,417.04761904761904,5096.0,North Station
187,70205,1,Green-C,365.1212121212121,30276.777777777777,North Station
188,70205,1,Green-D,331.95201484623544,695.4738240765347,North Station
189,70205,1,Green-E,307.6628711766019,583.7965796579658,North Station
190,70206,0,Green-B,219.81034482758625,12700.233333333334,North Station
191,70206,0,Green-C,210.83695652173915,7766.913907284768,North Station
192,70206,0,Green-D,319.9037589976006,636.3960742134982,North Station
193,70206,0,Green-E,273.0968574108818,558.868137024871,North Station
194,70207,1,Green-B,370.8666666666667,5421.0,Science Park/West End
195,70207,1,Green-C,360.61764705882354,27327.3,Science Park/West End
196,70207,1,Green-D,316.4607115433837,674.0538876058506,Science Park/West End
197,70207,1,Green-E,297.1049187249314,554.1622368700829,Science Park/West End
198,70208,0,Green-B,260.3829787234043,6475.5,Science Park/West End
199,70208,0,Green-C,246.1190476190476,15832.692307692309,Science Park/West End
200,70208,0,Green-D,327.2212183789365,680.2444039562728,Science Park/West End
201,70208,0,Green-E,293.4839124839125,562.5249140893471,Science Park/West End
202,70211,0,Green-C,610.1703260146373,610.1703260146373,Saint Mary's Street
203,70212,1,Green-C,597.8310512367491,597.8310512367491,Saint Mary's Street
204,70213,0,Green-C,605.6577151661897,605.6960158485582,Hawes Street
205,70213,0,Green-D,174.0,,Hawes Street
206,70214,1,Green-C,591.2752133012469,591.2752133012469,Hawes Street
207,70215,0,Green-C,612.2857142857143,612.2857142857143,Kent Street
208,70216,1,Green-C,595.798577145398,595.798577145398,Kent Street
209,70217,0,Green-C,605.1645197740113,605.1645197740113,Saint Paul Street
210,70218,1,Green-C,588.828488372093,588.828488372093,Saint Paul Street
211,70219,0,Green-C,602.6566224420958,602.6566224420958,Coolidge Corner
212,70220,1,Green-C,589.8573667711598,589.8573667711598,Coolidge Corner
213,70223,0,Green-C,604.0889840054066,604.0889840054066,Summit Avenue
214,70224,1,Green-C,591.6194431971262,591.6194431971262,Summit Avenue
215,70225,0,Green-C,600.5888462406864,600.5888462406864,Brandon Hall
216,70226,1,Green-C,589.702769646476,589.702769646476,Brandon Hall
217,70227,0,Green-C,599.9968447148974,599.9968447148974,Fairbanks Street
218,70228,1,Green-C,590.1766824217871,590.1766824217871,Fairbanks Street
219,70229,0,Green-C,599.5289610096912,599.5289610096912,Washington Square
220,70230,1,Green-C,589.2808635034855,589.2808635034855,Washington Square
221,70231,0,Green-C,596.5374943870678,596.5374943870678,Tappan Street
222,70232,1,Green-C,589.8565324938161,589.8565324938161,Tappan Street
223,70233,0,Green-C,597.9400269541779,597.9400269541779,Dean Road
224,70234,1,Green-C,590.2324797843665,590.2324797843665,Dean Road
225,70235,0,Green-C,597.8518435251799,597.8518435251799,Englewood Avenue
226,70236,1,Green-C,689.704425271361,689.704425271361,Englewood Avenue
227,70237,0,Green-C,,,Cleveland Circle
228,70237,0,Green-D,,,Cleveland Circle
229,70239,0,Green-E,554.4826461681807,554.4826461681807,Prudential
230,70240,1,Green-E,551.8869990680336,551.8869990680336,Prudential
231,70241,0,Green-E,564.2690391459075,564.2690391459075,Symphony
232,70242,1,Green-E,552.9848201774871,552.9848201774871,Symphony
233,70243,0,Green-E,555.5306996668253,555.5306996668253,Northeastern University
234,70244,1,Green-E,553.3729547641964,553.3729547641964,Northeastern University
235,70245,0,Green-E,553.8687305015599,553.8687305015599,Museum of Fine Arts
236,70246,1,Green-E,551.4822712026833,551.4822712026833,Museum of Fine Arts
237,70247,0,Green-E,555.6838554216868,555.6838554216868,Longwood Medical Area
238,70248,1,Green-E,554.7483731019523,554.7483731019523,Longwood Medical Area
239,70249,0,Green-E,574.2863545816733,574.2863545816733,Brigham Circle
240,70250,1,Green-E,563.6736842105263,563.6736842105263,Brigham Circle
241,70251,0,Green-E,570.5334158415842,570.5334158415842,Fenwood Road
242,70252,1,Green-E,566.2645034414946,566.2645034414946,Fenwood Road
243,70253,0,Green-E,570.0148257968866,570.0148257968866,Mission Park
244,70254,1,Green-E,567.0829844865797,567.0829844865797,Mission Park
245,70255,0,Green-E,568.1740202119793,568.1740202119793,Riverway
246,70256,1,Green-E,566.060427413412,566.060427413412,Riverway
247,70257,0,Green-E,571.4002478314746,571.4002478314746,Back of the Hill
248,70258,1,Green-E,568.9639684106614,568.9639684106614,Back of the Hill
249,70501,1,Green-B,339.2,,Lechmere
250,70501,1,Green-C,355.6666666666667,30394.2,Lechmere
251,70501,1,Green-D,318.89199060787894,641.077365394668,Lechmere
252,70501,1,Green-E,298.0865407602199,583.618313253012,Lechmere
253,70502,0,Green-B,296.8695652173913,14727.818181818182,Lechmere
254,70502,0,Green-C,244.71794871794876,14551.0,Lechmere
255,70502,0,Green-D,325.20982986767484,662.6112169888374,Lechmere
256,70502,0,Green-E,278.69755555555554,542.528024911032,Lechmere
257,70503,1,Green-D,,,Union Square
258,70503,1,Green-E,13746.5,21164.0,Union Square
259,70505,1,Green-B,517.8888888888889,,Gilman Square
260,70505,1,Green-C,380.0357142857143,3665.0,Gilman Square
