stop_id,direction_id,destination,headway_time_sec,stop_name,stop_desc,line,year
70210,0,Heath St,583.2488440009735,,,unknown,2018
70210,0,Riverside,1263.5294117647059,,,green,2018
70211,0,Cleveland Circle,554.3429551366158,Saint Mary's Street,Saint Mary's Street - Green Line - (C) Cleveland Circle,green,2018
70212,1,Government Center,393.5,Saint Mary's Street,Saint Mary's Street - Green Line - Park Street & North,green,2018
70212,1,North Station,596.9857727382131,Saint Mary's Street,Saint Mary's Street - Green Line - Park Street & North,green,2018
70212,1,Park St,295.6,Saint Mary's Street,Saint Mary's Street - Green Line - Park Street & North,green,2018
70213,0,Cleveland Circle,574.8798068674787,Hawes Street,Hawes Street - Green Line - (C) Cleveland Circle,green,2018
70214,1,Government Center,450.0,Hawes Street,Hawes Street - Green Line - Park Street & North,green,2018
70214,1,Lechmere,1.0,Hawes Street,Hawes Street - Green Line - Park Street & North,green,2018
70214,1,North Station,627.4550231755956,Hawes Street,Hawes Street - Green Line - Park Street & North,green,2018
70214,1,Park St,463.0,Hawes Street,Hawes Street - Green Line - Park Street & North,green,2018
70215,0,Cleveland Circle,579.595605921591,Kent Street,Kent Street - Green Line - (C) Cleveland Circle,green,2018
70216,1,Government Center,452.3333333333333,Kent Street,Kent Street - Green Line - Park Street & North,green,2018
70216,1,North Station,584.1249092756568,Kent Street,Kent Street - Green Line - Park Street & North,green,2018
70216,1,Park St,502.5,Kent Street,Kent Street - Green Line - Park Street & North,green,2018
70217,0,Cleveland Circle,556.0496996683596,Saint Paul Street,Saint Paul Street - Green Line - (C) Cleveland Circle,green,2018
70218,1,Government Center,434.0,Saint Paul Street,Saint Paul Street - Green Line - Park Street & North,green,2018
70218,1,Lechmere,775.0,Saint Paul Street,Saint Paul Street - Green Line - Park Street & North,green,2018
70218,1,North Station,568.7038213562992,Saint Paul Street,Saint Paul Street - Green Line - Park Street & North,green,2018
70219,0,Cleveland Circle,534.8626028921024,Coolidge Corner,Coolidge Corner - Green Line - (C) Cleveland Circle,green,2018
70220,1,Government Center,437.73333333333335,Coolidge Corner,Coolidge Corner - Green Line - Park Street & North,green,2018
70220,1,Lechmere,638.0,Coolidge Corner,Coolidge Corner - Green Line - Park Street & North,green,2018
70220,1,North Station,568.7526912181303,Coolidge Corner,Coolidge Corner - Green Line - Park Street & North,green,2018
70223,0,Cleveland Circle,544.2482313345697,Summit Avenue,Summit Avenue - Green Line - (C) Cleveland Circle,green,2018
70224,1,Government Center,488.5,Summit Avenue,Summit Avenue - Green Line - Park Street & North,green,2018
70224,1,North Station,596.2755291869878,Summit Avenue,Summit Avenue - Green Line - Park Street & North,green,2018
